2026-03-22 01:24:21 | vibelens.ingest.parsers.codex:215 | INFO | Codex SQLite index: 4 sessions
2026-03-22 01:24:21 | vibelens.stores.local:202 | INFO | Dropped 11 empty sessions from index
2026-03-22 01:24:21 | vibelens.stores.local:203 | INFO | Indexed 181 sessions across 3 agents
2026-03-22 01:24:21 | vibelens.models.trajectories.trajectory:119 | WARNING | Trajectory 6d590f7e-b18e-438f-939f-421c18d3620f: 125 total tool_calls but 124 observation results
2026-03-22 01:24:21 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 2f892eb9-4dfb-443d-84e1-cfa8ca0bd8c5: sub-trajectories not referenced by parent: {'agent-acompact-34470777728a7ea2'}
2026-03-22 01:24:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 9e555410-09d4-406e-9467-a6ac7e100f62: sub-trajectories not referenced by parent: {'agent-acompact-6d13446294ab9e34'}
2026-03-22 01:24:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session cf18a8a0-dde7-42f4-b175-c5c8a16dc2bd: sub-trajectories not referenced by parent: {'agent-ada1643b62e38a722', 'agent-acompact-c1b08ca6905a9af6', 'agent-acompact-4af8291e7acacbf3'}
2026-03-22 01:24:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 64da7265-8f07-4967-b79f-0ae374c13330: sub-trajectories not referenced by parent: {'agent-acompact-d8d63b404fc1a00f'}
2026-03-22 01:24:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 6558106f-82f1-464c-bf4e-d99dcb466b0e: sub-trajectories not referenced by parent: {'agent-acompact-01ef2da6e306dfae'}
2026-03-22 01:24:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 3c77650d-0192-4ab1-bb96-c0e589d751e5: sub-trajectories not referenced by parent: {'agent-acompact-23d14434bb72339d'}
2026-03-22 01:24:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 147f278a-76e5-4a79-979a-d01591dbbe26: sub-trajectories not referenced by parent: {'agent-acompact-93beb00f91803f4a'}
2026-03-22 01:24:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session edeb8057-e9de-49e5-9ea9-5773cd22676f: sub-trajectories not referenced by parent: {'agent-acompact-b8972c1407de6d10', 'agent-acompact-d0dedcc3b42b6eed', 'agent-acompact-0ffd5e7f5d431ddf'}
2026-03-22 01:24:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session d33425e7-0d4e-405f-ad3b-2cdf6c5e83fb: sub-trajectories not referenced by parent: {'agent-acompact-96eba5763e83f993'}
2026-03-22 01:24:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e46da5ef-2d3b-42b7-892d-de7df979ea8b: sub-trajectories not referenced by parent: {'agent-acompact-dd30e47cc640f971', 'agent-acompact-2addbf2587ff9352', 'agent-acompact-83c53ddda46a6432', 'agent-acompact-c4fde05454c91c70', 'agent-acompact-7f7141ff020f87f1', 'agent-acompact-6a5bdffc3aa8ed1c', 'agent-acompact-40973040a7741797', 'agent-acompact-4abb1ff5442bcb86', 'agent-acompact-031d6380178c60ee', 'agent-acompact-67f9da085179fe47'}
2026-03-22 01:24:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 4acbb567-9100-4201-a046-3be7ef5adfcd: sub-trajectories not referenced by parent: {'agent-acompact-aabd9b97ebc290c9'}
2026-03-22 01:24:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 3fb566a3-49c0-4f39-b1be-1d831b29f62a: sub-trajectories not referenced by parent: {'agent-acompact-8a5dad4d32d83c00'}
2026-03-22 01:24:22 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 7242e07c-0a18-4a25-bc6b-1c6398a4c192: sub-trajectories not referenced by parent: {'agent-acompact-2bf809d8e7278b56'}
2026-03-22 01:24:23 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 9aea9342-1063-42fc-974e-6a45eff71fdc: sub-trajectories not referenced by parent: {'agent-acompact-7a1766019a3f6698', 'agent-acompact-17c6d19f842c92a7', 'agent-acompact-b56d1e2a4baeb5bc', 'agent-acompact-02c618aea659d304'}
2026-03-22 01:24:23 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session e3cab9fa-087f-4068-be79-8f3289428d4b: sub-trajectories not referenced by parent: {'agent-acompact-771f4a6f94c533d1', 'agent-acompact-4b082ae551c1d59b', 'agent-acompact-8f183743e0f6e139'}
2026-03-22 01:24:23 | vibelens.models.trajectories.step:95 | WARNING | Step msg_01RCiW3U7BGxBZe7qvvnpa4q: tool_call(s) without matching observation: {'toolu_01Dok3wxe2uUGouhpZq8b3Kp'}
2026-03-22 01:24:23 | vibelens.models.trajectories.step:95 | WARNING | Step msg_01RCiW3U7BGxBZe7qvvnpa4q: tool_call(s) without matching observation: {'toolu_01Dok3wxe2uUGouhpZq8b3Kp'}
2026-03-22 01:24:23 | vibelens.models.trajectories.trajectory:119 | WARNING | Trajectory 78466af8-109c-4933-bf2f-8aabb24c3133: 133 total tool_calls but 132 observation results
2026-03-22 01:24:23 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 78466af8-109c-4933-bf2f-8aabb24c3133: sub-trajectories not referenced by parent: {'agent-acompact-0292d886be5c76cc'}
2026-03-22 01:24:23 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 48f6d2a0-9c27-4d59-8ced-611f26f11210: sub-trajectories not referenced by parent: {'agent-acompact-c872e498d023debe', 'agent-acompact-f15dbd323c32f277'}
2026-03-22 01:24:23 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 22a6e55a-32d4-44eb-9add-7f1c19ccebe4: sub-trajectories not referenced by parent: {'agent-acompact-a3e93d19fda25130', 'agent-acompact-ab1719479a42c43e', 'agent-acompact-1b591a4b6d7f055d'}
2026-03-22 01:24:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 8ca7b432-c70d-40ab-bad8-9bab0d6f429f: sub-trajectories not referenced by parent: {'agent-acompact-e6d550698e9017ec', 'agent-acompact-a5f8b2aff9d3d660'}
2026-03-22 01:24:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 497cf276-a167-4abb-99db-6d35123a4f35: sub-trajectories not referenced by parent: {'agent-acompact-58c283bd492b99c5', 'agent-acompact-15c55c7ce4d8b97b', 'agent-acompact-85d9b940d7ae78f0', 'agent-acompact-d761a1e07f86b5ba', 'agent-acompact-e09cb1a2b74a9136', 'agent-acompact-f75e7158740e6c34', 'agent-acompact-d56e0266b2cdd689'}
2026-03-22 01:24:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b29f78c5-076a-4ecc-a186-2eee947e4c5f: sub-trajectories not referenced by parent: {'agent-acompact-960d116839f81a4d', 'agent-acompact-eaf6502dfa12e5a2'}
2026-03-22 01:24:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 9df1371d-7bd7-4f8e-bd23-dd0b554ef0a2: sub-trajectories not referenced by parent: {'agent-acompact-cf7997c5de6ecefd', 'agent-acompact-c43c3d9832d93ae8'}
2026-03-22 01:24:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 5ca9e836-4de1-43fc-b3df-4ebf1d2c6e4c: sub-trajectories not referenced by parent: {'agent-acompact-b10259733104478a'}
2026-03-22 01:24:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session a0b5f8b3-d5ef-4104-a4f2-a7260876e58c: sub-trajectories not referenced by parent: {'agent-acompact-4aae73a30eea3cef', 'agent-acompact-7d3140cc529a7e8c', 'agent-acompact-247ea4bf3d71e80a'}
2026-03-22 01:24:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session d7a6dae4-2ddc-4185-91a3-c7a09c2ca785: sub-trajectories not referenced by parent: {'agent-acompact-531aaa87562a33c8', 'agent-acompact-c115714454781317'}
2026-03-22 01:24:24 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session a957af1f-2708-4073-b5a8-bdf820cd7fda: sub-trajectories not referenced by parent: {'agent-acompact-170957c4cd8aa57d'}
2026-03-22 01:24:25 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 14b5bc55-2f0a-401f-89dc-a302c755a6d3: sub-trajectories not referenced by parent: {'agent-acompact-e9047d32bde6fdff', 'agent-acompact-98b558527f76d1b6', 'agent-acompact-8443e595dfec19ce', 'agent-acompact-e9ac50c5fd2e7260', 'agent-acompact-a88c671d6e550ccb', 'agent-acompact-4b9937937bfff1f4', 'agent-acompact-b5520b1a7868e40a', 'agent-acompact-f6c86f29c08cd2cd', 'agent-acompact-dcdbf149c9d80ae3', 'agent-acompact-6fb8c172b4bd2434', 'agent-acompact-6fccb04546d3434d', 'agent-acompact-1b8f2afb221b5720', 'agent-acompact-b61161d0d6f7dbdd', 'agent-acompact-09d2006d9fc9269e', 'agent-acompact-1d894deeea73be18'}
2026-03-22 01:24:25 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session bd881212-9137-4b23-b402-0186c7185ab0: sub-trajectories not referenced by parent: {'agent-acompact-16679e6fb68f0976', 'agent-acompact-3297ebc6d8c54bc5'}
2026-03-22 01:24:25 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session b3f230c6-113c-439a-8f67-3a33a9bba532: sub-trajectories not referenced by parent: {'agent-a2764623aa49816e7'}
2026-03-22 01:24:25 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 27c2c7a7-b925-4839-95bd-27d4511b79a5: sub-trajectories not referenced by parent: {'agent-acompact-fb6e9bf7f02ebc16', 'agent-acompact-a791eb7a7f610027'}
2026-03-22 01:24:25 | vibelens.ingest.parsers.claude_code:1366 | WARNING | Session 1cdccebc-b091-4105-876b-10e9a590f4b9: sub-trajectories not referenced by parent: {'agent-acompact-67f07bdb4d2b5367'}
